SNR;RAJ2000;DEJ2000;MajDiam;MinDiam;u_MinDiam;type;l_S(1GHz);S(1GHz);u_S(1GHz);Sp-Index;u_Sp-Index;Names;Simbad;recno
G018.6-00.2;18 25 55;-12 50;  6.0;     ; ;S ; ;   1.4; ; 0.40;  ;                          ;Simbad;      60
G018.8+00.3;18 23 58;-12 23; 17.0; 11.0; ;S ; ;  33.0; ; 0.46;  ;Kes 67                    ;Simbad;      61
G018.9-01.1;18 29 50;-12 58; 33.0;     ; ;C?; ;  37.0; ; 0.39;  ;                          ;Simbad;      62
G019.1+00.2;18 24 56;-12 07; 27.0;     ; ;S ; ;  10.0; ; 0.50;  ;                          ;Simbad;      63
G020.0-00.2;18 28 07;-11 35; 10.0;     ; ;F ; ;  10.0; ; 0.10;  ;                          ;Simbad;      64
G021.0-00.4;18 31 12;-10 47;  9.0;  7.0; ;S ; ;   1.1; ; 0.60;  ;                          ;Simbad;      65
G021.5-00.9;18 33 33;-10 35;  5.0;     ; ;C ; ;   7.0; ;     ;v ;                          ;Simbad;      66
G021.6-00.8;18 33 40;-10 25; 13.0;     ; ;S ; ;   1.4; ; 0.50;? ;                          ;Simbad;      67
G021.8-03.0;18 41 50;-11 16; 60.0;     ; ;S ; ;   5.0; ; 0.70;  ;                          ;Simbad;      68
G021.8-00.6;18 32 45;-10 08; 20.0;     ; ;S ; ;  65.0; ; 0.56;  ;Kes 69                    ;Simbad;      69
G022.7-00.2;18 33 15;-09 13; 26.0;     ; ;S?; ;  33.0; ; 0.60;  ;                          ;Simbad;      70
G023.3-00.3;18 34 45;-08 48; 27.0;     ; ;S ; ;  70.0; ; 0.50;  ;W41                       ;Simbad;      71
G024.7-00.6;18 38 43;-07 32; 15.0;     ;?;S?; ;   8.0; ; 0.50;  ;                          ;Simbad;      72
G024.7+00.6;18 34 10;-07 05; 30.0; 15.0; ;C?; ;  20.0;?; 0.20;? ;                          ;Simbad;      73
G025.1-02.3;18 45 10;-08 00; 80.0; 30.0;?;S ; ;   8.0; ; 0.50;? ;                          ;Simbad;      74
G027.4+00.0;18 41 19;-04 56;  4.0;     ; ;S ; ;   6.0; ; 0.68;  ;4C-04.71                  ;Simbad;      75
G027.8+00.6;18 39 50;-04 24; 50.0; 30.0; ;F ; ;  30.0; ;     ;v ;                          ;Simbad;      76
G028.3+00.2;18 42 30;-03 58; 10.0;     ; ;S ; ;   1.3;?; 0.70;? ;                          ;Simbad;      77
G028.6-00.1;18 43 55;-03 53; 13.0;  9.0; ;S ; ;   3.0;?;     ;? ;                          ;Simbad;      78
G028.7-00.4;18 45 30;-03 54;  9.0;     ; ;S ; ;   0.9;?; 0.80;? ;                          ;Simbad;      79
G028.8+01.5;18 39 00;-02 55;100.0;     ;?;S?; ;      ;?; 0.40;? ;                          ;Simbad;      80
G029.3+00.1;18 44 36;-03 06; 10.0;     ;?;C?; ;   2.5;?;     ;? ;                          ;Simbad;      81
G029.6+00.1;18 44 52;-02 57;  5.0;     ; ;S ; ;   0.5;?; 0.50;? ;                          ;Simbad;      82
G029.7-00.3;18 46 25;-02 59;  3.0;     ; ;C ; ;   9.0; ; 0.70;  ;Kes 75                    ;Simbad;      83
G030.7-02.0;18 54 25;-02 54; 16.0;     ; ;? ; ;   0.5;?; 0.70;? ;                          ;Simbad;      84
G030.7+01.0;18 44 00;-01 32; 24.0; 18.0; ;S?; ;   6.0; ; 0.40;  ;                          ;Simbad;      85
G031.5-00.6;18 51 10;-01 31; 18.0;     ;?;S?; ;   2.0;?;     ;? ;                          ;Simbad;      86
G031.9+00.0;18 49 25;-00 55;  7.0;  5.0; ;S ; ;  25.0; ;     ;v ;3C391                     ;Simbad;      87
G032.0-04.9;19 06 00;-03 00; 60.0;     ;?;S?; ;  22.0;?; 0.50;? ;3C396.1                   ;Simbad;      88
G032.1-00.9;18 53 10;-01 08; 40.0;     ;?;C?; ;   4.0;?; 0.70;? ;                          ;Simbad;      89
G032.4+00.1;18 50 05;-00 25;  6.0;     ; ;S ; ;   0.8;?; 0.20;? ;                          ;Simbad;      90
G032.8-00.1;18 51 25;-00 08; 22.0; 15.0; ;S?; ;  12.0; ; 0.30;  ;Kes 78                    ;Simbad;      91
G033.2-00.6;18 53 50;-00 02; 18.0;     ; ;S ; ;   3.0; ; 0.30;  ;                          ;Simbad;      92
G033.6+00.1;18 52 48;+00 41; 10.0;     ; ;S ; ;  20.0; ; 0.51;  ;Kes 79, 4C00.70, HC13     ;Simbad;      93
G034.7-00.4;18 56 00;+01 22; 35.0; 27.0; ;C ; ; 240.0; ; 0.37;  ;W44, 3C392                ;Simbad;      94
G035.6-00.4;18 57 55;+02 13; 15.0; 11.0; ;S?; ;   9.0; ;     ;v ;                          ;Simbad;      95
G036.6-00.7;19 00 35;+02 56; 25.0;     ;?;S?; ;   1.0; ; 0.70;? ;                          ;Simbad;      96
G036.6+02.6;18 48 49;+04 26; 17.0; 13.0;?;S ; ;   0.7;?; 0.50;? ;                          ;Simbad;      97
G038.7-01.3;19 06 40;+04 28; 32.0; 19.0;?;S ; ;      ;?;     ;? ;                          ;Simbad;      98
G039.2-00.3;19 04 08;+05 28;  8.0;  6.0; ;C ; ;  18.0; ; 0.34;  ;3C396, HC24, NRAO 593     ;Simbad;      99
G039.7-02.0;19 12 20;+04 55;120.0; 60.0; ;? ; ;  85.0;?; 0.70;? ;W50, SS433                ;Simbad;     100
G040.5-00.5;19 07 10;+06 31; 22.0;     ; ;S ; ;  11.0; ; 0.40;  ;                          ;Simbad;     101
G041.1-00.3;19 07 34;+07 08;  4.5;  2.5; ;S ; ;  25.0; ; 0.50;  ;3C397                     ;Simbad;     102
G041.5+00.4;19 05 50;+07 46; 10.0;     ; ;S?; ;   1.0;?;     ;? ;                          ;Simbad;     103
G042.0-00.1;19 08 10;+08 00;  8.0;     ; ;S?; ;   0.5;?;     ;? ;                          ;Simbad;     104
G042.8+00.6;19 07 20;+09 05; 24.0;     ; ;S ; ;   3.0;?; 0.50;? ;                          ;Simbad;     105
G043.3-00.2;19 11 08;+09 06;  4.0;  3.0; ;S ; ;  38.0; ; 0.46;  ;W49B                      ;Simbad;     106
G043.9+01.6;19 05 50;+10 30; 60.0;     ;?;S?; ;   9.0; ; 0.50;  ;                          ;Simbad;     107
G045.7-00.4;19 16 25;+11 09; 22.0;     ; ;S ; ;   4.2;?; 0.40;? ;                          ;Simbad;     108
G046.8-00.3;19 18 10;+12 09; 15.0;     ; ;S ; ;  16.0; ; 0.54;  ;(HC30)                    ;Simbad;     109
G049.2-00.7;19 23 50;+14 06; 30.0;     ; ;S?; ; 160.0;?; 0.30;? ;(W51)                     ;Simbad;     110
G053.4+00.0;19 29 57;+18 10; 10.0;     ;?;S ; ;   1.5; ; 0.60;? ;                          ;Simbad;     111
G053.6-02.2;19 38 50;+17 14; 33.0; 28.0; ;S ; ;   8.0; ; 0.50;  ;3C400.2, NRAO 611         ;Simbad;     112
G054.1+00.3;19 30 31;+18 52; 12.0;     ;?;C?; ;   0.5; ; 0.10;  ;                          ;Simbad;     113
G054.4-00.3;19 33 20;+18 56; 40.0;     ; ;S ; ;  28.0; ; 0.50;  ;(HC40)                    ;Simbad;     114
G055.0+00.3;19 32 00;+19 50; 20.0; 15.0;?;S ; ;   0.5;?; 0.50;? ;                          ;Simbad;     115
G055.7+03.4;19 21 20;+21 44; 23.0;     ; ;S ; ;   1.0;?; 0.30;? ;                          ;Simbad;     116
G057.2+00.8;19 34 59;+21 57; 12.0;     ;?;S?; ;   1.8; ; 0.35;  ;(4C21.53)                 ;Simbad;     117
G059.5+00.1;19 42 33;+23 35; 15.0;     ; ;S ; ;   3.0;?;     ;? ;                          ;Simbad;     118
G063.7+01.1;19 47 52;+27 45;  8.0;     ; ;F ; ;   1.8; ; 0.24;  ;                          ;Simbad;     119
G064.5+00.9;19 50 25;+28 16;  8.0;     ; ;S?; ;   0.2;?; 0.50;  ;                          ;Simbad;     120
G065.1+00.6;19 54 40;+28 35; 90.0; 50.0; ;S ; ;   5.5; ; 0.61;  ;                          ;Simbad;     121
G065.3+05.7;19 33 00;+31 10;310.0;240.0; ;S?; ;  42.0; ; 0.60;  ;                          ;Simbad;     122
G065.7+01.2;19 52 10;+29 26; 22.0;     ; ;F ; ;   5.1; ;     ;v ;DA 495                    ;Simbad;     123
G066.0-00.0;19 57 50;+29 03; 31.0; 25.0;?;S ; ;      ;?;     ;? ;                          ;Simbad;     124
G067.6+00.9;19 57 45;+30 53; 50.0; 45.0;?;S ; ;      ;?;     ;? ;                          ;Simbad;     125
G067.7+01.8;19 54 32;+31 29; 15.0; 12.0; ;S ; ;   1.0; ; 0.61;  ;                          ;Simbad;     126
G067.8+00.5;20 00 00;+30 51;  7.0;  5.0; ;? ; ;      ;?;     ;? ;                          ;Simbad;     127
G068.6-01.2;20 08 40;+30 37; 23.0;     ; ;? ; ;   1.1; ; 0.20;  ;                          ;Simbad;     128
