SNR;RAJ2000;DEJ2000;MajDiam;MinDiam;u_MinDiam;type;l_S(1GHz);S(1GHz);u_S(1GHz);Sp-Index;u_Sp-Index;Names;Simbad;recno
G309.2-00.6;13 46 31;-62 54; 15.0; 12.0; ;S ; ;   7.0;?; 0.40;? ;                          ;Simbad;     215
G309.8+00.0;13 50 30;-62 05; 25.0; 19.0; ;S ; ;  17.0; ; 0.50;  ;                          ;Simbad;     216
G310.6-01.6;14 00 45;-63 26;  2.5;     ; ;C?; ;      ;?;     ;? ;                          ;Simbad;     217
G310.6-00.3;13 58 00;-62 09;  8.0;     ; ;S ; ;   5.0;?;     ;? ;Kes 20B                   ;Simbad;     218
G310.8-00.4;14 00 00;-62 17; 12.0;     ; ;S ; ;   6.0;?;     ;? ;Kes 20A                   ;Simbad;     219
G311.5-00.3;14 05 38;-61 58;  5.0;     ; ;S ; ;   3.0;?; 0.50;  ;                          ;Simbad;     220
G312.4-00.4;14 13 00;-61 44; 38.0;     ; ;S ; ;  45.0; ; 0.36;  ;                          ;Simbad;     221
G312.5-03.0;14 21 00;-64 12; 20.0; 18.0; ;S ; ;   3.5;?;     ;? ;                          ;Simbad;     222
G315.1+02.7;14 24 30;-57 50;190.0;150.0; ;S ; ;      ;?;     ;? ;                          ;Simbad;     223
G315.4-02.3;14 43 00;-62 30; 42.0;     ; ;S ; ;  49.0; ; 0.60;  ;RCW 86, MSH 14-63         ;Simbad;     224
G315.4-00.3;14 35 55;-60 36; 24.0; 13.0; ;? ; ;   8.0; ; 0.40;  ;                          ;Simbad;     225
G315.9-00.0;14 38 25;-60 11; 25.0; 14.0; ;S ; ;   0.8;?;     ;? ;                          ;Simbad;     226
G316.3-00.0;14 41 30;-60 00; 29.0; 14.0; ;S ; ;  20.0;?; 0.40;  ;(MSH 14-57)               ;Simbad;     227
G317.3-00.2;14 49 40;-59 46; 11.0;     ; ;S ; ;   4.7;?;     ;? ;                          ;Simbad;     228
G318.2+00.1;14 54 50;-59 04; 40.0; 35.0; ;S ;>;   3.9;?;     ;? ;                          ;Simbad;     229
G318.9+00.4;14 58 30;-58 29; 30.0; 14.0; ;C ; ;   4.0;?; 0.20;? ;                          ;Simbad;     230
G320.4-01.2;15 14 30;-59 08; 35.0;     ; ;C ; ;  60.0;?; 0.40;  ;MSH 15-52, RCW 89         ;Simbad;     231
G320.6-01.6;15 17 50;-59 16; 60.0; 30.0; ;S ; ;      ;?;     ;? ;                          ;Simbad;     232
G321.9-01.1;15 23 45;-58 13; 28.0;     ; ;S ;>;   3.4;?;     ;? ;                          ;Simbad;     233
G321.9-00.3;15 20 40;-57 34; 31.0; 23.0; ;S ; ;  13.0; ; 0.30;  ;                          ;Simbad;     234
G322.1+00.0;15 20 49;-57 10;  8.0;  4.5;?;S?; ;      ;?;     ;? ;                          ;Simbad;     235
G322.5-00.1;15 23 23;-57 06; 15.0;     ; ;C ; ;   1.5; ; 0.40;  ;                          ;Simbad;     236
G323.5+00.1;15 28 42;-56 21; 13.0;     ; ;S ; ;   3.0;?; 0.40;? ;                          ;Simbad;     237
G323.7-01.0;15 34 30;-57 12; 51.0; 38.0; ;S ; ;      ;?;     ;? ;                          ;Simbad;     238
G326.3-01.8;15 53 00;-56 10; 38.0;     ; ;C ; ; 145.0; ;     ;v ;MSH 15-56                 ;Simbad;     239
G327.1-01.1;15 54 25;-55 09; 18.0;     ; ;C ; ;   7.0; ;     ;? ;                          ;Simbad;     240
G327.2-00.1;15 50 55;-54 18;  5.0;     ; ;S ; ;   0.5; ;     ;? ;                          ;Simbad;     241
G327.4+00.4;15 48 20;-53 49; 21.0;     ; ;S ; ;  26.0; ; 0.60;  ;Kes 27                    ;Simbad;     242
G327.4+01.0;15 46 48;-53 20; 14.0;     ; ;S ; ;   1.9; ;     ;? ;                          ;Simbad;     243
G327.6+14.6;15 02 50;-41 56; 30.0;     ; ;S ; ;  19.0; ; 0.60;  ;SN1006, PKS 1459-41       ;Simbad;     244
G328.4+00.2;15 55 30;-53 17;  5.0;     ; ;F ; ;  15.0; ; 0.00;  ;(MSH 15-57)               ;Simbad;     245
G329.7+00.4;16 01 20;-52 18; 40.0; 33.0; ;S ;>;  34.0;?;     ;? ;                          ;Simbad;     246
G330.0+15.0;15 10 00;-40 00;180.0;     ;?;S ; ; 350.0;?; 0.50;? ;Lupus Loop                ;Simbad;     247
G330.2+01.0;16 01 06;-51 34; 11.0;     ; ;S?; ;   5.0;?; 0.30;  ;                          ;Simbad;     248
G332.0+00.2;16 13 17;-50 53; 12.0;     ; ;S ; ;   8.0;?; 0.50;  ;                          ;Simbad;     249
G332.4-00.4;16 17 33;-51 02; 10.0;     ; ;S ; ;  28.0; ; 0.50;  ;RCW 103                   ;Simbad;     250
G332.4+00.1;16 15 20;-50 42; 15.0;     ; ;S ; ;  26.0; ; 0.50;  ;MSH 16-51, Kes 32         ;Simbad;     251
G332.5-05.6;16 43 20;-54 30; 35.0;     ; ;S ; ;   2.0;?; 0.70;? ;                          ;Simbad;     252
G335.2+00.1;16 27 45;-48 47; 21.0;     ; ;S ; ;  16.0; ; 0.50;  ;                          ;Simbad;     253
G336.7+00.5;16 32 11;-47 19; 14.0; 10.0; ;S ; ;   6.0; ; 0.50;  ;                          ;Simbad;     254
G337.0-00.1;16 35 57;-47 36;  1.5;     ; ;S ; ;   1.5; ; 0.60;? ;(CTB 33)                  ;Simbad;     255
G337.2-00.7;16 39 28;-47 51;  6.0;     ; ;S ; ;   1.5; ; 0.40;  ;                          ;Simbad;     256
G337.2+00.1;16 35 55;-47 20;  3.0;  2.0; ;? ; ;   1.5;?;     ;? ;                          ;Simbad;     257
G337.3+01.0;16 32 39;-46 36; 15.0; 12.0; ;S ; ;  16.0; ; 0.55;  ;Kes 40                    ;Simbad;     258
G337.8-00.1;16 39 01;-46 59;  9.0;  6.0; ;S ; ;  15.0; ; 0.50;  ;Kes 41                    ;Simbad;     259
G338.1+00.4;16 37 59;-46 24; 15.0;     ;?;S ; ;   4.0;?; 0.40;  ;                          ;Simbad;     260
G338.3-00.0;16 41 00;-46 34;  8.0;     ; ;C?; ;   7.0;?;     ;? ;                          ;Simbad;     261
G338.5+00.1;16 41 09;-46 19;  9.0;     ; ;? ; ;  12.0;?;     ;? ;                          ;Simbad;     262
G340.4+00.4;16 46 31;-44 39; 10.0;  7.0; ;S ; ;   5.0; ; 0.40;  ;                          ;Simbad;     263
G340.6+00.3;16 47 41;-44 34;  6.0;     ; ;S ; ;   5.0;?; 0.40;? ;                          ;Simbad;     264
G341.2+00.9;16 47 35;-43 47; 22.0; 16.0; ;C ; ;   1.5;?; 0.60;? ;                          ;Simbad;     265
G341.9-00.3;16 55 01;-44 01;  7.0;     ; ;S ; ;   2.5; ; 0.50;  ;                          ;Simbad;     266
G342.0-00.2;16 54 50;-43 53; 12.0;  9.0; ;S ; ;   3.5;?; 0.40;? ;                          ;Simbad;     267
G342.1+00.9;16 50 43;-43 04; 10.0;  9.0; ;S ; ;   0.5;?;     ;? ;                          ;Simbad;     268
G343.0-06.0;17 25 00;-46 30;250.0;     ; ;S ; ;      ;?;     ;? ;RCW 114                   ;Simbad;     269
G343.1-02.3;17 08 00;-44 16; 32.0;     ;?;C?; ;   8.0;?; 0.50;? ;                          ;Simbad;     270
G343.1-00.7;17 00 25;-43 14; 27.0; 21.0; ;S ; ;   7.8; ; 0.55;  ;                          ;Simbad;     271
G344.7-00.1;17 03 51;-41 42;  8.0;     ; ;C?; ;   2.5;?; 0.30;? ;                          ;Simbad;     272
G345.1-00.2;17 05 21;-41 26;  6.0;     ; ;S ; ;   1.4;?; 0.70;? ;                          ;Simbad;     273
G345.1+00.2;17 03 40;-41 05; 10.0;     ; ;S ; ;   0.6;?; 0.60;? ;                          ;Simbad;     274
G345.7-00.2;17 07 20;-40 53;  6.0;     ; ;S ; ;   0.6;?;     ;? ;                          ;Simbad;     275
G346.6-00.2;17 10 19;-40 11;  8.0;     ; ;S ; ;   8.0;?; 0.50;? ;                          ;Simbad;     276
G347.3-00.5;17 13 50;-39 45; 65.0; 55.0; ;S?; ;  30.0;?;     ;? ;RX J1713.7-3946           ;Simbad;     277
G348.5-00.0;17 15 26;-38 28; 10.0;     ;?;S?; ;  10.0;?; 0.40;? ;                          ;Simbad;     278
G348.5+00.1;17 14 06;-38 32; 15.0;     ; ;S ; ;  72.0; ; 0.30;  ;CTB 37A                   ;Simbad;     279
G348.7+00.3;17 13 55;-38 11; 17.0;     ;?;S ; ;  26.0; ; 0.30;  ;CTB 37B                   ;Simbad;     280
G348.8+01.1;17 11 29;-37 36; 10.0;     ; ;S ; ;   0.6;?; 0.70;? ;                          ;Simbad;     281
G349.2-00.1;17 17 15;-38 04;  9.0;  6.0; ;S ; ;   1.4;?;     ;? ;                          ;Simbad;     282
G349.7+00.2;17 17 59;-37 26;  2.5;  2.0; ;S ; ;  20.0; ; 0.50;  ;                          ;Simbad;     283
G350.0-02.0;17 27 50;-38 32; 45.0;     ; ;S ; ;  26.0; ; 0.40;  ;                          ;Simbad;     284
G350.1-00.3;17 21 05;-37 27;  4.0;     ;?;? ; ;   6.0;?; 0.80;? ;                          ;Simbad;     285
G351.0-05.4;17 46 00;-39 25; 30.0;     ; ;S ; ;      ;?;     ;? ;                          ;Simbad;     286
G351.2+00.1;17 22 27;-36 11;  7.0;     ; ;C?; ;   5.0;?; 0.40;  ;                          ;Simbad;     287
G351.7+00.8;17 21 00;-35 27; 18.0; 14.0; ;S ; ;  10.0; ; 0.50;? ;                          ;Simbad;     288
G351.9-00.9;17 28 52;-36 16; 12.0;  9.0; ;S ; ;   1.8;?;     ;? ;                          ;Simbad;     289
G352.7-00.1;17 27 40;-35 07;  8.0;  6.0; ;S ; ;   4.0; ; 0.60;  ;                          ;Simbad;     290
G353.3-01.1;17 33 10;-35 12; 60.0;     ; ;S ; ;  24.0;?; 0.85;? ;                          ;Simbad;     291
G353.6-00.7;17 32 00;-34 44; 30.0;     ; ;S ; ;   2.5;?;     ;? ;                          ;Simbad;     292
G353.9-02.0;17 38 55;-35 11; 13.0;     ; ;S ; ;   1.0;?; 0.50;? ;                          ;Simbad;     293
G354.1+00.1;17 30 28;-33 46; 15.0;  3.0;?;C?; ;      ;?;     ;v ;                          ;Simbad;     294
G354.8-00.8;17 36 00;-33 42; 19.0;     ; ;S ; ;   2.8;?;     ;? ;                          ;Simbad;     295
G355.4+00.7;17 31 20;-32 26; 25.0;     ; ;S ; ;   5.0;?;     ;? ;                          ;Simbad;     296
G355.6-00.0;17 35 16;-32 38;  8.0;  6.0; ;S ; ;   3.0;?;     ;? ;                          ;Simbad;     297
G355.9-02.5;17 45 53;-33 43; 13.0;     ; ;S ; ;   8.0; ; 0.50;  ;                          ;Simbad;     298
G356.2+04.5;17 19 00;-29 40; 25.0;     ; ;S ; ;   4.0; ; 0.70;  ;                          ;Simbad;     299
G356.3-01.5;17 42 35;-32 52; 20.0; 15.0; ;S ; ;   3.0;?;     ;? ;                          ;Simbad;     300
G356.3-00.3;17 37 56;-32 16; 11.0;  7.0; ;S ; ;   3.0;?;     ;? ;                          ;Simbad;     301
G357.7-00.1;17 40 29;-30 58;  8.0;  3.0;?;? ; ;  37.0; ; 0.40;  ;MSH 17-39                 ;Simbad;     302
G357.7+00.3;17 38 35;-30 44; 24.0;     ; ;S ; ;  10.0; ; 0.40;? ;                          ;Simbad;     303
G358.0+03.8;17 26 00;-28 36; 38.0;     ; ;S ; ;   1.5;?;     ;? ;                          ;Simbad;     304
G358.1+01.0;17 37 00;-29 59; 20.0;     ; ;S ; ;   2.0;?;     ;? ;                          ;Simbad;     305
G358.5-00.9;17 46 10;-30 40; 17.0;     ; ;S ; ;   4.0;?;     ;? ;                          ;Simbad;     306
G359.0-00.9;17 46 50;-30 16; 23.0;     ; ;S ; ;  23.0; ; 0.50;  ;                          ;Simbad;     307
G359.1-00.5;17 45 30;-29 57; 24.0;     ; ;S ; ;  14.0; ; 0.40;? ;                          ;Simbad;     308
G359.1+00.9;17 39 36;-29 11; 12.0; 11.0; ;S ; ;   2.0;?;     ;? ;                          ;Simbad;     309
G359.2-01.1;17 48 14;-30 12;  5.0;  4.0; ;S?; ;   0.4;?; 1.10;? ;                          ;Simbad;     310
